Jrk nr,Maakond,G01Q02Klass. Mitmendas klassis õpib Teie laps?,"G01Q03. Kas olete teadlik, et Teie lapse koolis rakendatakse koolikava (koolipiima ning koolipuu- ja köögivilja programm)?",G01Q14. Kus Te elate?,"G02Q04SuuakseKV[1]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 1]","G02Q04SuuakseKV[2]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 2]","G02Q04SuuakseKV[3]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 3]","G02Q04SuuakseKV[4]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 4]","G02Q04SuuakseKV[5]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 5]","G02Q05SuuakseMarjad[1]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 1]","G02Q05SuuakseMarjad[2]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 2]","G02Q05SuuakseMarjad[3]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 3]","G02Q05SuuakseMarjad[4]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 4]","G02Q05SuuakseMarjad[5]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 5]","G02Q06SuuaksePiim[1]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 1]","G02Q06SuuaksePiim[2]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 2]","G02Q06SuuaksePiim[3]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 3]","G02Q07Suuakse[SQ001]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked puuviljad]","G02Q07Suuakse[SQ002]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked köögiviljad ]","G02Q07Suuakse[SQ003]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked või eelnevalt külmutatud marjad ]","G02Q07Suuakse[SQ004]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Joogipiim]","G02Q07Suuakse[SQ005]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Keefir]","G02Q07Suuakse[SQ006]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Hapupiim]","G02Q07Suuakse[SQ007]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Pett]","G02Q07Suuakse[SQ008]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Jogurt]",G03Q8Muutus[SQ001]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Köögivilja osas],G03Q8Muutus[SQ002]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Puuvilja osas],G03Q8Muutus[SQ003]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Piimatoodete osas],"G03Q10Sagedus. Palun hinnake, kui sagedasti räägite oma lapsega tervislikust toitumisest?","G02Q12Vajalikkus[SQ001]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Koolipiimakava]","G02Q12Vajalikkus[SQ002]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Koolipuuvilja ja -köögiviljakava]","G02Q12Vajalikkus[SQ003]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Kaasnevad haridusmeetmed]"
457,Lääne-Virumaa,11. klassis,Ei ole,Maal,Porgand,Kurk,Sibul,Peet,,Maasikad,Pirn,Õun,,,Joogipiim,Jogurt,Keefir,1-2 korda nädalas,1-2 korda nädalas,Paar korda kuus,Iga päev,3-4 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,5-6 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Pigem vajalik,Pigem vajalik,Pigem vajalik
458,Lääne-Virumaa,11. klassis,"Jah, olen",Maal,Sibul,Tomat,Kurk,Porgand,"Kapsas (valge, punane) ",Maasikad,Pirn,Vaarikad,Õun,Mustikad,Joogipiim,Jogurt,Keefir,5-6 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,5-6 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
459,Lääne-Virumaa,4. klassis,"Jah, olen",Linna lähikonnas,Kurk,Peet,Redis,Porgand,Paprika,Maasikad,Kirsid,Vaarikad,Õun,Mustikad,Joogipiim,Keefir,Jogurt,5-6 päeval nädalas,5-6 päeval nädalas,3-4 päeval nädalas,Iga päev,3-4 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem vähem,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
461,Lääne-Virumaa,4. klassis,"Jah, olen",Maal,Tomat,Kurk,Herned,Porgand,Paprika,Õun,Maasikad,Vaarikad,Pirn,Kirsid,Joogipiim,Jogurt,Pett,3-4 päeval nädalas,3-4 päeval nädalas,Paar korda kuus,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Sööb pigem rohkem,Ei oska öelda,Pigem vajalik,Pigem vajalik,Pigem vajalik
462,Lääne-Virumaa,11. klassis,Ei ole,Maal,Tomat,Porgand,Kurk,Leht- ja peasalat,Peet,Astelpaju marjad,Karusmarjad (tikrid),Mustikad,Maasikad,Õun,Jogurt,Keefir,Joogipiim,,,,,,,,,,,,,,,
463,Lääne-Virumaa,8. klassis,"Jah, olen",Linna lähikonnas,Kurk,Paprika,Tomat,Leht- ja peasalat,Porgand,Maasikad,Mustikad,Kirsid,Vaarikad,Õun,Joogipiim,Jogurt,Keefir,3-4 päeval nädalas,5-6 päeval nädalas,3-4 päeval nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Ei ole muutusi,Mitu korda kuus,Väga vajalik,Väga vajalik,Väga vajalik
465,Lääne-Virumaa,4. klassis,"Jah, olen",Maal,"Kapsas (valge, punane) ",Kurk,Lillkapsas,Paprika,Porgand,Maasikad,Kirsid,Mustikad,Pirn,Õun,Jogurt,Keefir,Joogipiim,Iga päev,Iga päev,1-2 korda nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb palju rohkem,Sööb palju rohkem,Ei ole muutusi,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
466,Lääne-Virumaa,4. klassis,"Jah, olen",Maal,Porgand,"Kapsas (valge, punane) ",Peet,Kurk,Tomat,Õun,Mustikad,Vaarikad,Mustad sõstrad,Punased sõstrad,Joogipiim,Jogurt,Keefir,5-6 päeval nädalas,5-6 päeval nädalas,3-4 päeval nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Sööb pigem rohkem,Ei ole muutusi,Mitu korda kuus,Pigem vajalik,Väga vajalik,Väga vajalik
467,Lääne-Virumaa,8. klassis,"Jah, olen",Maal,Kurk,Tomat,Peet,Kõrvits ,Lillkapsas,Vaarikad,Maasikad,Õun,Mustikad,Ploomid,Keefir,Jogurt,Joogipiim,3-4 päeval nädalas,1-2 korda nädalas,Paar korda kuus,1-2 korda nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
469,Lääne-Virumaa,8. klassis,"Jah, olen",Maal,Tomat,Porgand,Kurk,Peet,Sibul,Õun,Pirn,Vaarikad,,,Joogipiim,Jogurt,,3-4 päeval nädalas,1-2 korda nädalas,Paar korda kuus,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb palju rohkem,Sööb pigem rohkem,Sööb palju rohkem,Kord nädalas,Pigem vajalik,Väga vajalik,Väga vajalik
470,Lääne-Virumaa,11. klassis,"Jah, olen",Maal,Porgand,Kurk,Lillkapsas,Paprika,Tomat,Maasikad,Mustikad,Õun,Karusmarjad (tikrid),Mustad sõstrad,Joogipiim,Jogurt,Keefir,Iga päev,Iga päev,3-4 päeval nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei oska öelda,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
471,Lääne-Virumaa,4. klassis,"Jah, olen",Linna lähikonnas,Herned,Hiina kapsas,Kurk,Lillkapsas,Nuikapsas ,Maasikad,Mustad sõstrad,Vaarikad,Õun,Mustikad,Jogurt,Joogipiim,Keefir,Iga päev,5-6 päeval nädalas,3-4 päeval nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Ei ole muutusi,Vähemalt kord päevas,,,
473,Lääne-Virumaa,8. klassis,"Jah, olen",Maal,"Kapsas (valge, punane) ",Kurk,Oad,Kaalikas,Redis,Jõhvikad,Maasikad,Ploomid,Mustikad,Õun,Joogipiim,Keefir,Hapupiim,5-6 päeval nädalas,5-6 päeval nädalas,Paar korda kuus,Iga päev,5-6 päeval nädalas,5-6 päeval nädalas,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Pigem vajalik,Pigem vajalik,Pigem vajalik
474,Lääne-Virumaa,8. klassis,"Jah, olen",Linna lähikonnas,Kurk,Paprika,Herned,Redis,Porgand,Jõhvikad,Maasikad,Mustikad,Vaarikad,Õun,Joogipiim,Jogurt,Keefir,Iga päev,Iga päev,Ei oska öelda,Iga päev,Iga päev,Ei oska öelda,Ei oska öelda,5-6 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Väga vajalik,Väga vajalik,Väga vajalik
475,Lääne-Virumaa,11. klassis,"Jah, olen",Linna lähikonnas,Kurk,Tomat,Porgand,Kõrvits ,Sibul,Õun,Maasikad,Vaarikad,Mustikad,Pirn,Joogipiim,Keefir,Jogurt,Iga päev,1-2 korda nädalas,Paar korda kuus,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord kuus,Väga vajalik,Väga vajalik,Pigem vajalik
476,Lääne-Virumaa,8. klassis,"Jah, olen",Maal,Tomat,Sibul,Porgand,Paprika,Kurk,Maasikad,Õun,Kirsid,Mustikad,Ploomid,Keefir,Jogurt,Pett,5-6 päeval nädalas,3-4 päeval nädalas,Paar korda kuus,1-2 korda nädalas,3-4 päeval nädalas,Paar korda kuus,Paar korda kuus,3-4 päeval nädalas,Sööb pigem vähem,Sööb pigem rohkem,Sööb pigem rohkem,Kord kuus,Pigem vajalik,Pigem vajalik,Pigem vajalik
478,Lääne-Virumaa,4. klassis,"Jah, olen",Maal,Kurk,Porgand,Baklažaan,Sibul,Kaalikas,Mustikad,Mustad sõstrad,Õun,Vaarikad,Maasikad,Keefir,Jogurt,,3-4 päeval nädalas,Paar korda kuus,3-4 päeval nädalas,Ei söö/joo üldse,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Väga vajalik,Väga vajalik,Väga vajalik
479,Tartumaa,4. klassis,"Jah, olen",Linna lähikonnas,Porgand,Kurk,Sibul,"Kapsas (valge, punane) ",Tomat,Õun,Maasikad,Mustikad,,,Joogipiim,Keefir,Jogurt,1-2 korda nädalas,5-6 päeval nädalas,5-6 päeval nädalas,3-4 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Ei ole muutusi,Sööb pigem vähem,Kord nädalas,Pigem vajalik,Väga vajalik,Väga vajalik
480,Tartumaa,4. klassis,"Jah, olen",Linna lähikonnas,Kurk,Lillkapsas,Paprika,Tomat,Sibul,Õun,Maasikad,Mustad sõstrad,Vaarikad,Pirn,Joogipiim,Keefir,Jogurt,3-4 päeval nädalas,Iga päev,1-2 korda nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
482,Tartumaa,4. klassis,"Jah, olen",Linnas,Tomat,Kurk,Paprika,Sibul,Porgand,Pirn,Õun,Maasikad,,,Joogipiim,Keefir,Jogurt,5-6 päeval nädalas,1-2 korda nädalas,Ei söö/joo üldse,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem vähem,Sööb pigem vähem,Ei ole muutusi,Mitu korda kuus,Väga vajalik,Väga vajalik,Väga vajalik
483,Tartumaa,4. klassis,Ei ole,Linna lähikonnas,Kurk,Tomat,Lillkapsas,Paprika,Porgand,Maasikad,Mustikad,Õun,Vaarikad,Murakad,Joogipiim,Jogurt,Keefir,1-2 korda nädalas,1-2 korda nädalas,1-2 korda nädalas,3-4 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Sööb palju rohkem,Sööb pigem vähem,Kord kuus,Pigem vajalik,Väga vajalik,Pigem vajalik
484,Lääne-Virumaa,11. klassis,"Jah, olen",Maal,Tomat,Porgand,Paprika,Kurk,"Suvikõrvits, kabatšokk",Maasikad,Vaarikad,Mustikad,Õun,Ploomid,Joogipiim,Jogurt,Keefir,Iga päev,3-4 päeval nädalas,3-4 päeval nädalas,5-6 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,5-6 päeval nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb palju rohkem,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
486,Põlvamaa,8. klassis,Ei ole,Linna lähikonnas,Kurk,Porgand,Herned,Tomat,Sibul,Mustikad,Maasikad,Õun,Vaarikad,,Joogipiim,Keefir,Jogurt,Iga päev,Iga päev,5-6 päeval nädalas,Iga päev,3-4 päeval nädalas,Ei oska öelda,Ei oska öelda,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Ei ole muutusi,Kord nädalas,Väga vajalik,Väga vajalik,Pigem vajalik
487,Lääne-Virumaa,8. klassis,"Jah, olen",Maal,"Suvikõrvits, kabatšokk","Kapsas (valge, punane) ",Lillkapsas,Paprika,Spargelkapsas ehk brokoli,Maasikad,Õun,Mustikad,Pirn,,Joogipiim,Keefir,Jogurt,3-4 päeval nädalas,Iga päev,Paar korda kuus,Iga päev,3-4 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Sööb palju rohkem,Ei ole muutusi,Ei oska öelda,Pigem vajalik,Pigem vajalik,Pigem vajalik
488,Tallinn,4. klassis,"Jah, olen",Linnas,Kurk,Leht- ja peasalat,Tomat,Paprika,Seller ,Maasikad,Mustikad,Vaarikad,Õun,Kirsid,Jogurt,Keefir,,Iga päev,Iga päev,1-2 korda nädalas,1-2 korda nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Iga päev,Ei ole muutusi,Ei oska öelda,Ei ole muutusi,Vähemalt kord päevas,Pigem vajalik,Väga vajalik,Väga vajalik
490,Tallinn,4. klassis,"Jah, olen",Linnas,Kurk,Paprika,Porgand,Tomat,Hiina kapsas,Maasikad,Õun,Vaarikad,Mustikad,Ploomid,Joogipiim,Keefir,Jogurt,Iga päev,Iga päev,1-2 korda nädalas,Iga päev,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,5-6 päeval nädalas,Sööb palju rohkem,Sööb palju rohkem,Sööb pigem rohkem,Vähemalt kord päevas,Väga vajalik,Väga vajalik,Väga vajalik
491,Tallinn,4. klassis,Ei ole,Linnas,"Kapsas (valge, punane) ",Paprika,Porgand,Peet,Sibul,Õun,Vaarikad,Maasikad,Mustikad,Mustad sõstrad,Jogurt,Joogipiim,Keefir,Iga päev,Iga päev,3-4 päeval nädalas,3-4 päeval nädalas,3-4 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Ei ole muutusi,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
492,Tallinn,4. klassis,Ei oska öelda,Linna lähikonnas,Kurk,Tomat,Porgand,Sibul,Leht- ja peasalat,Õun,Vaarikad,Mustikad,Maasikad,Murakad,Jogurt,Joogipiim,Keefir,3-4 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,3-4 päeval nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Sööb pigem vähem,Kord kuus,Väga vajalik,Väga vajalik,Väga vajalik
494,Lääne-Virumaa,4. klassis,"Jah, olen",Linna lähikonnas,Paprika,Porgand,Kurk,Leht- ja peasalat,Sibul,Õun,Pirn,Maasikad,Kirsid,Mustikad,Joogipiim,Jogurt,Keefir,Iga päev,Iga päev,Paar korda kuus,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Sööb pigem rohkem,Sööb pigem rohkem,Kord nädalas,Pigem vajalik,Väga vajalik,Pigem vajalik
495,Tallinn,11. klassis,Ei oska öelda,Linnas,Lehtkapsas ,"Kapsas (valge, punane) ",Herned,Kurk,Lillkapsas,Kirsid,Maasikad,Mustad sõstrad,Pirn,Vaarikad,Joogipiim,Hapupiim,,1-2 korda nädalas,1-2 korda nädalas,Ei söö/joo üldse,1-2 korda nädalas,Paar korda kuus,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Sööb pigem vähem,Ei oska öelda,Sööb pigem vähem,Ei oska öelda,Pigem vajalik,Pigem vajalik,Pigem vajalik
496,Tartumaa,11. klassis,Ei ole,Linnas,Tomat,Kurk,Leht- ja peasalat,Porgand,Sibul,Maasikad,Mustikad,Pirn,Vaarikad,Õun,Jogurt,Joogipiim,,5-6 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,3-4 päeval nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Sööb pigem rohkem,Ei ole muutusi,Kord nädalas,Pigem vajalik,Väga vajalik,Väga vajalik
498,Tartumaa,11. klassis,"Jah, olen",Linna lähikonnas,Porgand,Kurk,Sibul,Tomat,Kõrvits ,Maasikad,Vaarikad,Õun,Kirsid,Astelpaju marjad,Joogipiim,Jogurt,Hapupiim,1-2 korda nädalas,1-2 korda nädalas,1-2 korda nädalas,5-6 päeval nädalas,Paar korda kuus,Paar korda kuus,Paar korda kuus,1-2 korda nädalas,Sööb pigem vähem,Sööb pigem vähem,Sööb pigem rohkem,Mitu korda kuus,Väga vajalik,Väga vajalik,Väga vajalik
499,Tartumaa,11. klassis,Ei ole,Linna lähikonnas,Kurk,Paprika,Porgand,Tomat,Hiina kapsas,Maasikad,Mustikad,Ploomid,Õun,Vaarikad,Joogipiim,Keefir,,1-2 korda nädalas,1-2 korda nädalas,Ei söö/joo üldse,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Väga vajalik,Väga vajalik,Väga vajalik
500,Tallinn,4. klassis,Ei ole,Linnas,Hiina kapsas,Kurk,Leht- ja peasalat,Porgand,Sibul,Maasikad,Murakad,Vaarikad,,,Jogurt,Joogipiim,,1-2 korda nädalas,1-2 korda nädalas,Paar korda kuus,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei oska öelda,Ei oska öelda,Ei oska öelda,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
502,Lääne-Virumaa,8. klassis,Ei oska öelda,Maal,Kurk,Tomat,Porgand,Paprika,Leht- ja peasalat,Maasikad,Vaarikad,Mustikad,Õun,Mustad sõstrad,Jogurt,Joogipiim,,1-2 korda nädalas,3-4 päeval nädalas,3-4 päeval nädalas,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Ei ole muutusi,Ei ole muutusi,Kord kuus,Väga vajalik,Väga vajalik,Väga vajalik
503,Tallinn,4. klassis,"Jah, olen",Linnas,Kurk,Paprika,Spargelkapsas ehk brokoli,"Kapsas (valge, punane) ",Lillkapsas,Õun,Pirn,Ploomid,,,Joogipiim,Jogurt,,5-6 päeval nädalas,5-6 päeval nädalas,Paar korda kuus,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Sööb pigem rohkem,Ei ole muutusi,Mitu korda nädalas,Pigem vajalik,Pigem vajalik,Pigem vajalik
504,Tallinn,4. klassis,Ei ole,Linnas,Kurk,Lillkapsas,Paprika,Porgand,Tomat,Maasikad,Mustikad,Õun,Ploomid,Kirsid,Joogipiim,Jogurt,Keefir,Iga päev,1-2 korda nädalas,Iga päev,3-4 päeval nädalas,1-2 korda nädalas,1-2 korda nädalas,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
506,Tallinn,4. klassis,"Jah, olen",Linnas,Spargelkapsas ehk brokoli,Tomat,Kõrvits ,Kurk,Baklažaan,Maasikad,Õun,Vaarikad,Karusmarjad (tikrid),Ploomid,Joogipiim,Jogurt,Keefir,5-6 päeval nädalas,3-4 päeval nädalas,3-4 päeval nädalas,Iga päev,1-2 korda nädalas,1-2 korda nädalas,Paar korda kuus,3-4 päeval nädalas,Sööb pigem rohkem,Ei ole muutusi,Sööb palju rohkem,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
507,Tallinn,4. klassis,"Jah, olen",Linnas,Porgand,Kurk,Paprika,Sibul,Tomat,Maasikad,Mustad sõstrad,Õun,Mustikad,Punased sõstrad,Joogipiim,Jogurt,Keefir,5-6 päeval nädalas,5-6 päeval nädalas,3-4 päeval nädalas,Iga päev,3-4 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Väga vajalik,Väga vajalik,Pigem vajalik
508,Tallinn,4. klassis,Ei ole,Linna lähikonnas,Kurk,Lillkapsas,Paprika,Porgand,Tomat,Maasikad,Mustikad,Pirn,Vaarikad,Õun,Joogipiim,Jogurt,Keefir,1-2 korda nädalas,Paar korda kuus,Paar korda kuus,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Pigem vajalik,Pigem vajalik,Pigem vajalik
510,Tallinn,4. klassis,Ei ole,Linnas,Kurk,Paprika,Tomat,Porgand,Herned,Maasikad,Mustikad,Pirn,Vaarikad,Õun,Joogipiim,Jogurt,,3-4 päeval nädalas,5-6 päeval nädalas,Paar korda kuus,5-6 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Pigem vajalik,Väga vajalik,Väga vajalik
511,Tallinn,4. klassis,"Jah, olen",Linna lähikonnas,Kurk,Tomat,Leht- ja peasalat,Peet,"Kapsas (valge, punane) ",Maasikad,Mustikad,Vaarikad,Punased sõstrad,Mustad sõstrad,Joogipiim,Pett,Keefir,3-4 päeval nädalas,5-6 päeval nädalas,3-4 päeval nädalas,Iga päev,3-4 päeval nädalas,1-2 korda nädalas,1-2 korda nädalas,Paar korda kuus,Sööb pigem rohkem,Sööb pigem vähem,Sööb pigem vähem,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
512,Tallinn,4. klassis,"Jah, olen",Linnas,Kurk,Paprika,Porgand,Kaalikas,Tomat,Maasikad,Mustikad,Õun,Vaarikad,Karusmarjad (tikrid),Joogipiim,Jogurt,Keefir,3-4 päeval nädalas,3-4 päeval nädalas,Paar korda kuus,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Ei ole muutusi,Mitu korda kuus,Väga vajalik,Väga vajalik,Väga vajalik
513,Tallinn,4. klassis,Ei ole,Linnas,Porgand,Sibul,Tomat,Kurk,Kõrvits ,Maasikad,Mustikad,Õun,Vaarikad,Pirn,Jogurt,Keefir,Joogipiim,3-4 päeval nädalas,5-6 päeval nädalas,3-4 päeval nädalas,3-4 päeval nädalas,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Iga päev,Sööb pigem vähem,Sööb pigem rohkem,Sööb pigem rohkem,Vähemalt kord päevas,Väga vajalik,Väga vajalik,Väga vajalik
515,Tallinn,11. klassis,Ei ole,Linnas,Tomat,Porgand,Sibul,"Kapsas (valge, punane) ",Kurk,Maasikad,Mustikad,Õun,Karusmarjad (tikrid),Ploomid,Joogipiim,Keefir,Hapupiim,1-2 korda nädalas,3-4 päeval nädalas,Paar korda kuus,Iga päev,5-6 päeval nädalas,5-6 päeval nädalas,Paar korda kuus,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Väga vajalik,Väga vajalik,Pigem ebavajalik
